Glossary	Glossary (用語集)
**Audience**: documentation writers and editors	**対象読者**: ドキュメントの作成者と編集者
While this style guide will also refer to best practices using ReStructured Text (also known as RST), in general we advise writing documentation in Markdown, as it's a more universally accepted documentation standard.	このスタイルガイドでは、reStructuredText (RSTとも呼ばれます) を使用したベストプラクティスも参照しますが、一般的には、広く受け入れられているドキュメント標準であるMarkdownでドキュメントを書くことをお勧めします。
Both formats are usable, however, and if you decide to write a topic in RST (or are editing an RST topic), be sure to refer to this style guide.	ただし、どちらの形式も使用可能です。RSTでトピックを作成することにした場合 (またはRSTで書かれたトピックを編集する場合) は、必ずこのスタイルガイドを参照してください。
When in doubt, use the docs themselves for guidance on how to format things.	疑問がある場合は、フォーマットに関する手引きとしてドキュメントそのものを使用する
[For RST formatting](http://hyperledger-fabric.readthedocs.io/en/release-1.4/channel_update_tutorial.html).	[RSTフォーマット](http://hyperledger-fabric.readthedocs.io/en/release-1.4/channel_update_tutorial.html)
[For Markdown formatting](http://hyperledger-fabric.readthedocs.io/en/release-1.4/peers/peers.html).	[Markdownフォーマット](http://hyperledger-fabric.readthedocs.io/en/release-1.4/peers/peers.html)
If you just want to look at how things are formatted, you can navigate to the Fabric repo to look at the raw file by clicking on `Edit on Github` link in the upper right hand corner of the page.	フォーマットの方法を確認したいだけなら、ページ右上隅の `Edit on GitHub` リンクをクリックしてFabricリポジトリに移動し、
Then click the `Raw` tab.	次に `Raw` タブをクリックします。
This will show you the formatting of the doc.	これにより、ドキュメントのフォーマットが表示されます。
Do not attempt to edit the file on Github.	GitHub上でファイルを編集しないでください。 
If you want to make a change, clone the repo and follow the instructions in [Contributing](./CONTRIBUTING.html) for creating pull requests.	もし、ファイルに変更を加えたい場合には、リポジトリをクローンし、そして [Contributing](./CONTRIBUTING.html) のプルリクエストの作成方法に従ってください。
